# x, y, z, x_dot, y_dot, z_dot, phi, theta, psi, p, q, r
0.00036,0.00107,0.15610,0.00212,0.00795,1.06401,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00037,0.00110,0.16032,0.00197,0.00786,1.07783,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00038,0.00113,0.16461,0.00232,0.00724,1.09137,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00039,0.00116,0.16895,0.00310,0.00678,1.10529,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00040,0.00119,0.17334,0.00366,0.00716,1.11939,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00041,0.00122,0.17779,0.00344,0.00760,1.13375,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00043,0.00125,0.18230,0.00245,0.00815,1.14759,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00044,0.00128,0.18686,0.00132,0.00814,1.16097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00045,0.00131,0.19148,0.00082,0.00809,1.17441,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00045,0.00135,0.19615,0.00120,0.00777,1.18820,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00045,0.00138,0.20087,0.00165,0.00698,1.20238,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00046,0.00141,0.20565,0.00253,0.00686,1.21636,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00047,0.00144,0.21049,0.00340,0.00703,1.23010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00048,0.00146,0.21538,0.00350,0.00680,1.24405,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00049,0.00149,0.22033,0.00308,0.00663,1.25807,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00051,0.00152,0.22534,0.00339,0.00677,1.27206,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00052,0.00154,0.23040,0.00407,0.00656,1.28611,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00053,0.00157,0.23551,0.00426,0.00652,1.30066,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00055,0.00160,0.24069,0.00444,0.00634,1.31481,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00057,0.00162,0.24592,0.00472,0.00614,1.32858,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00059,0.00165,0.25120,0.00504,0.00603,1.34289,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00061,0.00167,0.25655,0.00545,0.00559,1.35628,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00063,0.00170,0.26194,0.00594,0.00528,1.36971,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00065,0.00172,0.26740,0.00636,0.00494,1.38387,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00068,0.00174,0.27290,0.00709,0.00516,1.39796,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00070,0.00176,0.27847,0.00751,0.00513,1.41145,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00073,0.00178,0.28409,0.00733,0.00470,1.42408,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00076,0.00180,0.28976,0.00730,0.00498,1.43722,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00079,0.00182,0.29548,0.00738,0.00537,1.45028,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00082,0.00184,0.30126,0.00733,0.00585,1.46348,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00085,0.00186,0.30708,0.00717,0.00579,1.47758,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00088,0.00188,0.31296,0.00688,0.00482,1.49201,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00091,0.00190,0.31890,0.00690,0.00449,1.50655,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00093,0.00192,0.32490,0.00689,0.00496,1.52082,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00096,0.00194,0.33096,0.00691,0.00490,1.53493,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00099,0.00196,0.33707,0.00672,0.00489,1.54961,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00102,0.00198,0.34324,0.00599,0.00511,1.56446,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00104,0.00200,0.34946,0.00564,0.00505,1.57920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00106,0.00202,0.35575,0.00523,0.00485,1.59350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00109,0.00204,0.36210,0.00555,0.00511,1.60717,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00111,0.00206,0.36850,0.00599,0.00507,1.62079,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00113,0.00208,0.37495,0.00573,0.00436,1.63524,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00115,0.00210,0.38147,0.00620,0.00460,1.65003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00118,0.00212,0.38804,0.00690,0.00477,1.66419,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00120,0.00214,0.39467,0.00681,0.00490,1.67796,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00123,0.00216,0.40135,0.00686,0.00548,1.69185,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00126,0.00218,0.40809,0.00723,0.00573,1.70640,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00129,0.00220,0.41489,0.00735,0.00563,1.72054,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00132,0.00222,0.42174,0.00755,0.00617,1.73489,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00135,0.00225,0.42865,0.00716,0.00740,1.74967,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00138,0.00227,0.43562,0.00667,0.00797,1.76336,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00140,0.00230,0.44265,0.00687,0.00860,1.77698,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00143,0.00234,0.44973,0.00713,0.00923,1.79053,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00146,0.00237,0.45686,0.00741,0.00953,1.80397,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00149,0.00241,0.46405,0.00783,0.00980,1.81788,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00152,0.00245,0.47129,0.00746,0.00997,1.83218,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00155,0.00249,0.47859,0.00725,0.01030,1.84709,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00158,0.00253,0.48595,0.00792,0.01027,1.86195,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00161,0.00257,0.49337,0.00870,0.01008,1.87659,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00164,0.00261,0.50085,0.00933,0.01064,1.89125,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00168,0.00265,0.50838,0.00933,0.01139,1.90611,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00172,0.00270,0.51598,0.00905,0.01205,1.92085,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00175,0.00274,0.52363,0.00920,0.01226,1.93470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00179,0.00279,0.53134,0.00945,0.01171,1.94810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00183,0.00284,0.53911,0.00965,0.01114,1.96225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00186,0.00289,0.54693,0.00958,0.01101,1.97650,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00190,0.00293,0.55481,0.00909,0.01089,1.99003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00194,0.00297,0.56274,0.00863,0.01106,2.00348,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00198,0.00302,0.57073,0.00817,0.01169,2.01777,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00201,0.00306,0.57877,0.00798,0.01190,2.03279,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00204,0.00311,0.58687,0.00837,0.01179,2.04749,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00207,0.00316,0.59503,0.00846,0.01184,2.06205,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00211,0.00321,0.60325,0.00836,0.01210,2.07639,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00214,0.00325,0.61153,0.00874,0.01253,2.08997,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00218,0.00330,0.61986,0.00931,0.01320,2.10422,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00221,0.00335,0.62825,0.00931,0.01353,2.11878,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00225,0.00341,0.63669,0.00926,0.01397,2.13278,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00229,0.00346,0.64520,0.00951,0.01481,2.14651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00232,0.00352,0.65376,0.00938,0.01528,2.16025,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00236,0.00358,0.66237,0.00861,0.01467,2.17445,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00240,0.00364,0.67104,0.00799,0.01454,2.18869,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00243,0.00370,0.67977,0.00782,0.01510,2.20282,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00246,0.00376,0.68855,0.00737,0.01498,2.21675,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00249,0.00382,0.69739,0.00739,0.01512,2.23022,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00252,0.00388,0.70628,0.00747,0.01571,2.24358,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00255,0.00394,0.71523,0.00751,0.01676,2.25723,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00258,0.00400,0.72423,0.00747,0.01740,2.27115,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00261,0.00407,0.73329,0.00719,0.01745,2.28480,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00264,0.00414,0.74240,0.00687,0.01706,2.29860,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00267,0.00421,0.75157,0.00630,0.01645,2.31301,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00270,0.00428,0.76079,0.00648,0.01708,2.32719,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00272,0.00435,0.77007,0.00724,0.01741,2.34101,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00275,0.00441,0.77941,0.00717,0.01671,2.35542,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00278,0.00448,0.78880,0.00752,0.01644,2.37040,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00281,0.00455,0.79825,0.00829,0.01658,2.38504,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00284,0.00462,0.80776,0.00872,0.01676,2.39927,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00287,0.00468,0.81733,0.00970,0.01683,2.41331,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00291,0.00475,0.82696,0.01054,0.01636,2.42771,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00295,0.00482,0.83664,0.01149,0.01598,2.44175,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00299,0.00488,0.84638,0.01273,0.01598,2.45492,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
