t,ax,ay,az,gx,gy,gz,p_x,p_y,p_z
1.12,0.05197793579562874,0.170975675413345,-9.770526469884539,0.0010627945322902426,-0.0011583480111783907,0.1029287123755003,19.862597265236708,2.340348238833549,0.46485394528356794
1.1300000000000001,0.07776345628392059,0.18762279015247033,-9.757468907999337,0.00014521431779535623,-0.0006098740507224638,0.10458654521358075,19.860135567853348,2.3611470150090743,0.46892699813712485
1.1400000000000001,0.10478693915025927,0.20296529568991734,-9.794825078058338,0.0013439066977879036,-0.0011890525205881285,0.10734566211089779,19.857652091396275,2.381943201897395,0.4729979940474494
1.1500000000000001,0.10139109141167262,0.2384499823101966,-9.780844472741949,-0.0004493887169425613,-0.0001241208168492152,0.10484196754273545,19.85514683858891,2.402736776692942,0.47706691515716176
1.16,0.09935854040449567,0.19415047829835377,-9.802466207690632,0.0008407888541511521,0.0006007463856201081,0.1062385396526446,19.85261981217858,2.423527716593011,0.4811337436179833
1.17,0.10190705250903,0.21848066807431069,-9.772454698450101,0.002469377825667385,-0.0012292382713856233,0.10644740198266955,19.850071014936475,2.4443159987977885,0.48519846159081476
1.18,0.0680360116241138,0.1906405956963523,-9.802510130205858,-0.0016618403137678684,0.0014698110080095172,0.10441646134054501,19.847500449657666,2.4651016005103727,0.48926105124581454
1.19,0.07198417837348911,0.2131445554892478,-9.786630459008855,0.001912034202004941,-9.606493923349825e-05,0.10625448979048221,19.84490811916109,2.485884498936804,0.4933214947624767
1.2,0.06474663774854264,0.21928984618732855,-9.756933768072079,0.00032592206147068176,-0.0002788966307257946,0.10722176242431676,19.842294026289558,2.5066646712860847,0.4973797743297095
1.21,0.10110589124379787,0.2210972219130137,-9.78451093398505,-0.0009197315206985845,-0.0007974071918575487,0.10466906575727541,19.83965817390974,2.527442094770209,0.5014358721459133
1.22,0.09923443757667817,0.195506944229443,-9.784463414132317,0.00031938744969064537,-0.0013741313647313005,0.10616791172651702,19.837000564912174,2.548216746604184,0.5054897704190586
1.23,0.10983244431235625,0.1997787083674876,-9.777333166064375,0.0012373401782046797,-0.002008255977782389,0.10375878582331963,19.834321202211257,2.5689886040060568,0.5095414513667642
1.24,0.10612524926923661,0.24796295396442286,-9.74064021889039,0.0015134659989322582,0.0004333865230989535,0.1061121406705924,19.831620088745233,2.589757644196939,0.5135908972163755
1.25,0.08920291431654398,0.22701504195430652,-9.78014582438579,0.0017827248788016687,-0.0017331113693813934,0.10532590957521575,19.828897227476208,2.6105238444010315,0.5176380902050415
1.26,0.05478197705650446,0.24505730649451676,-9.757536199682502,0.0008873764579858401,-0.0008184841433683043,0.10456019351986215,19.826152621390133,2.63128718184565,0.5216830125797939
1.27,0.07807425948975807,0.17267613160510129,-9.775534438641877,0.0001579273886552802,-0.0010588144649487376,0.1039248183734847,19.8233862734968,2.6520476337612484,0.525725646597624
1.28,0.1084733538827995,0.19897082708622524,-9.794085982893908,0.0007741146653466101,-0.0015918950859567069,0.1058214912166467,19.820598186829855,2.672805177381446,0.5297659745255614
1.29,0.07071040750711026,0.21552964621663515,-9.763812902893074,-0.0004977604838978373,0.0008983622939546373,0.10524849368360274,19.817788364446773,2.693559789943052,0.5338039786407511
1.3,0.0765707562361029,0.21856872100273925,-9.813380664912883,-0.00022344661690001694,0.0001992833620454124,0.10426530038957499,19.81495680942887,2.7143114486860878,0.5378396412305314
1.31,0.06053031007607529,0.1921118698816648,-9.778160599865416,0.0014543397989792415,-0.0016116932728839828,0.10558138680238052,19.812103524881298,2.735060130853815,0.5418729445925117
1.32,0.05377062460814434,0.14995893131203353,-9.77348328790557,0.0012097013051231551,-0.0029596151670069127,0.10450998553299252,19.809228513933025,2.7558058136927617,0.5459038710346504
1.33,0.06228550310393088,0.19247247822221877,-9.791911984222068,-0.000647533463339104,-0.00047475911824463636,0.10714453285958794,19.80633177973686,2.7765484744527402,0.549932402875332
1.34,0.07158620245141427,0.2723865277841102,-9.776324971776848,-0.0004460499792855573,-0.0010244270263940068,0.10666829300735886,19.803413325469418,2.797288090386882,0.5539585224434447
1.35,0.06624009531954712,0.23421156628129627,-9.780984598438211,0.0011585509401752805,-0.00011387748304302747,0.10467359933366106,19.80047315433115,2.818024638751653,0.5579822120784586
1.36,0.1164269355967962,0.18730990201576356,-9.781900225611365,0.0017180612278411848,-0.0006790752959714021,0.10597237083547496,19.797511269546316,2.8387580968068877,0.562003454130502
1.37,0.08675851411016569,0.21524519655331986,-9.778539660373703,-4.712251171402383e-05,-0.00026155930619626693,0.1052248572810753,19.79452767436298,2.859488441815806,0.5660222309604405
1.3800000000000001,0.032719325261201054,0.19664241993556625,-9.75653097953656,0.0002833950056618957,-0.0015999415445950226,0.10501547266373572,19.79152237205302,2.8802156510450434,0.5700385249399522
1.3900000000000001,0.10745511010095324,0.20242125905377653,-9.758170429315623,0.0018276484996702428,0.0003969046460692682,0.1050885357367374,19.788495365912123,2.9009397017646728,0.5740523184516072
1.4000000000000001,0.06584591487024422,0.2129590894798011,-9.776891208956211,4.756673530283487e-05,-1.555800756623425e-05,0.10504537187125297,19.785446659259765,2.9216605712482324,0.5780635938889432
1.41,0.08540747821444879,0.21259442815860585,-9.775586673404831,0.0007959603203702554,3.164208518118016e-05,0.10662990831076172,19.782376255439235,2.942378236772747,0.5820723336565435
1.42,0.09726146187552363,0.20666316006168003,-9.826094401358084,0.0011544932067477853,-0.0011391482613440135,0.10542957845396292,19.779284157817607,2.963092675618758,0.5860785201701147
1.43,0.0898864358887905,0.2214465454649741,-9.801391454695507,0.001393119211062521,-0.0011404595251915351,0.10632814430516768,19.776170369785735,2.983803865070342,0.5900821358565626
1.44,0.09109940575824396,0.1768830335338793,-9.803798904028666,-0.0007605908818191019,0.00034508236883156536,0.10723067029173602,19.773034894758283,3.0045117824151406,0.5940831631540697
1.45,0.09459431839614102,0.21929916172810293,-9.77897587645247,0.0013084849592132444,-0.0033092773376006447,0.10619795681078456,19.769877736173672,3.025216404944384,0.5980815845121733
1.46,0.10732510779336563,0.23564192785496765,-9.750010001660353,0.0010498151250095235,-0.000531352120943495,0.10391821170689805,19.76669889749412,3.045917709952914,0.6020773823918407
1.47,0.07594110479511018,0.2433119969949118,-9.795302374490227,0.0005023896642884992,-0.0013499708789064977,0.10420021090114795,19.76349838220561,3.0666156747392126,0.6060705392655479
1.48,0.04496372431165867,0.2246802285598991,-9.78124325854367,-0.0011497256066829475,-0.0009175767385049987,0.10476806944620232,19.7602761938179,3.087310276605422,0.610061037617355
1.49,0.07931199963186335,0.19450922264966627,-9.789317215436611,-0.00048807477357588815,0.00046689684550189935,0.10554160538932979,19.757032335864523,3.1080014928573756,0.6140488599429837
1.5,0.08038204579449845,0.2197911979716855,-9.814602837832835,0.0012029524755852712,-0.0010930781581771293,0.10566692909884548,19.753766811902757,3.1286893008046173,0.6180339887498948
1.51,0.07080799316059191,0.1899421419466977,-9.785646580850507,0.00038479213672287175,-0.0008358146495438617,0.10487006235543674,19.75047962551365,3.149373677760428,0.6220164065573632
1.52,0.08918445643467633,0.21441862438311907,-9.76400191874908,0.0005953214853104544,-0.0012241321603695013,0.10588157111602657,19.747170780302007,3.170054601041854,0.6259960958965564
1.53,0.06403385591150937,0.2116794247763195,-9.779909646481013,-0.0007193818978956581,0.0006532740635206796,0.10465370533222844,19.743840279896382,3.190732047969726,0.6299730393106096
1.54,0.09501022816250848,0.19647865523504415,-9.75530017416501,5.854175549980877e-05,-0.0003245855275010187,0.10578029471406199,19.74048812794908,3.211405995868688,0.6339472193547033
1.55,0.09563855832293644,0.23249406738721334,-9.805010044664803,-0.00010228261383226945,-0.0017195792840919118,0.10530488638015591,19.737114328136144,3.2320764220672227,0.63791861859614
1.56,0.041307677575699954,0.19391142628849947,-9.76393437204826,0.0019243730843834699,-0.0018490054734398439,0.10492732301830927,19.733718884157362,3.2527433038976716,0.641887219614419
1.57,0.08589114367794932,0.21022562528877928,-9.792001900469025,0.0001993426423249977,-0.0007037925893591687,0.10514977559647318,19.73030179973625,3.2734066186962663,0.6458530050013149
1.58,0.09841666487246288,0.2175596832267583,-9.785461602161112,0.0007567603641872148,-0.0021869616061556273,0.10439298657452863,19.72686307862006,3.2940663438031477,0.6498159573609529
