t,mx,my,mz
4.74,-5.9274967491561465,-21.545362272107354,-41.99379207324993
4.76,-5.853850644950106,-21.499292493447456,-41.537402269361884
4.78,-5.977306959766918,-21.81341439611368,-41.67322123924871
4.8,-6.006882891527801,-21.654589543404846,-42.11830535889023
4.82,-6.095910341114835,-22.34083838478674,-41.99466105906225
4.84,-6.101817127189263,-21.472986582367735,-41.643628799939
4.86,-6.139319702480355,-21.550818205592698,-42.21252347304551
4.88,-6.199412652895508,-21.461963822758886,-42.23346479575168
4.9,-6.323584359277544,-22.025539918867892,-41.763494570588584
4.92,-6.263888809363285,-21.29170332561105,-41.998682256549394
4.94,-6.354587774440592,-20.9220162472306,-41.98337186719328
4.96,-6.223004299183335,-21.35112650867225,-42.24736026959438
4.98,-6.366820461767236,-21.603951052915107,-41.733059659534106
5.0,-6.542930755407628,-21.305878632970884,-42.66852118171099
5.0200000000000005,-6.291647897124983,-21.419181046030502,-41.600664227636194
5.04,-6.522805381158393,-21.411671094909323,-41.94826001639539
5.0600000000000005,-6.496699708270614,-21.364905391405426,-42.17885797979947
5.08,-6.6506336727383015,-21.31372022170661,-42.57280474589834
5.1000000000000005,-6.73008521930364,-21.65742543745065,-42.24120748460368
5.12,-6.695226110364712,-21.261855956038605,-41.875703949955835
5.14,-6.741162361820951,-21.078963353128977,-43.10646284896501
5.16,-6.735252168620189,-21.114569836504536,-42.62272036866913
5.18,-6.86154965978669,-21.145081189963417,-42.36996785380428
5.2,-6.946834002711671,-21.33804739447911,-42.23050571741988
5.22,-6.861080918608116,-21.434147786219846,-42.393170955073764
5.24,-6.938516939254718,-20.9198723495103,-42.393937985040566
5.26,-6.996890366753397,-21.20489873477666,-42.249992721601394
5.28,-7.102925225799377,-21.111654740274393,-42.155443301082826
5.3,-7.211042127486616,-21.138649180882737,-41.82168452918215
5.32,-7.109412538472203,-21.100103885494548,-41.994120720591
5.34,-7.1816601447944475,-20.99088842955914,-41.60154188401029
5.36,-7.189596733221549,-20.923956094025495,-42.34923390006454
5.38,-7.238909175520959,-20.830687452474756,-41.92005162594573
5.4,-7.241134217681535,-20.996529152347545,-41.73529138228091
5.42,-7.322581482806217,-21.40903179969532,-42.380038773373926
5.44,-7.337840212931308,-20.960733108946005,-42.23708586015998
5.46,-7.41637665777029,-21.05862754029708,-41.52250898821752
5.48,-7.463765330049869,-20.548682280404048,-42.363162774865835
5.5,-7.538311028366633,-20.980592786758418,-41.52490488715521
